date,code,open,high,low,close,preclose,volume,amount,adjustflag,turn,tradestatus,pctChg,peTTM,pbMRQ,psTTM,pcfNcfTTM,isST
2018/10/11,sh.600000,9.19775,9.24373875,8.93101525,9.013795,9.35411175,39056785,386778863,2,0.138974,1,-3.63815,5.262347,0.69999,1.724213,28.0361,0
2018/10/12,sh.600000,9.1057725,9.2897275,9.04138825,9.22534325,9.013795,25145127,250805638,2,0.089472,1,2.346934,5.385851,0.716418,1.764679,28.69409,0
2018/10/15,sh.600000,9.24373875,9.344914,9.17015675,9.22534325,9.22534325,13957844,140122866,2,0.049665,1,0,5.385851,0.716418,1.764679,28.69409,0
2018/10/16,sh.600000,9.22534325,9.37250725,9.17015675,9.24373875,9.22534325,15308344,154272073,2,0.054471,1,0.199406,5.39659,0.717847,1.768198,28.751307,0
2018/10/17,sh.600000,9.3633095,9.48288025,9.3265185,9.46448475,9.24373875,26520895,271564080,2,0.094368,1,2.388057,5.525464,0.734989,1.810423,29.437905,0
2018/10/18,sh.600000,9.51967125,9.51967125,9.344914,9.37250725,9.46448475,22403988,229432798,2,0.079719,1,-0.971821,5.471766,0.727847,1.792829,29.151823,0
2018/10/19,sh.600000,9.42769375,9.59325325,9.26213425,9.5472645,9.37250725,40331386,414893373,2,0.143509,1,1.864578,5.573792,0.741418,1.826258,29.69538,0
2018/10/22,sh.600000,9.492078,9.8415925,9.492078,9.7680105,9.5472645,47003409,497527573,2,0.16725,1,2.312136,5.702665,0.758561,1.868483,30.381978,0
2018/10/23,sh.600000,9.786406,9.8415925,9.61164875,9.61164875,9.7680105,38089035,403493088,2,0.13553,1,-1.600754,5.61138,0.746418,1.838574,29.895637,0
2018/10/24,sh.600000,9.72202175,10.16351375,9.676033,9.8783835,9.61164875,59165552,639391016,2,0.210525,1,2.775119,5.767102,0.767132,1.889596,30.725277,0
2018/10/25,sh.600000,9.749615,10.01634975,9.6944285,9.970361,9.8783835,36866593,393987422,2,0.13118,1,0.931102,5.8208,0.774275,1.90719,31.01136,0
2018/10/26,sh.600000,9.97955875,10.0991295,9.8783835,10.043943,9.970361,27519309,298733755,2,0.09792,1,0.738007,5.863758,0.779989,1.921265,31.240226,0
2018/10/29,sh.600000,10.191107,10.227898,9.85079025,9.92437225,10.043943,35265959,385116491,2,0.125485,1,-1.190477,5.793951,0.770703,1.898393,30.868318,0
2018/10/30,sh.600000,10.05314075,10.16351375,10.01634975,10.07153625,9.92437225,33086049,363018055,2,0.117728,1,1.482853,5.879867,0.782132,1.926544,31.326051,0
2018/10/31,sh.600000,10.10832725,10.14511825,9.99795425,10.0991295,10.07153625,21737114,237583046,2,0.077346,1,0.27397,5.799324,0.757521,1.892937,3.101736,0
2018/11/1,sh.600000,10.16351375,10.20030475,9.9887565,10.01634975,10.0991295,23505322,257781673,2,0.083638,1,-0.819665,5.751789,0.751312,1.877422,3.076312,0
2018/11/2,sh.600000,10.2095025,10.34746875,10.0623385,10.2830845,10.01634975,47788920,530913675,2,0.170045,1,2.662993,5.904959,0.771319,1.927417,3.158234,0
2018/11/5,sh.600000,10.25549125,10.34746875,10.191107,10.2462935,10.2830845,17012759,189481162,2,0.060536,1,-0.357781,5.883832,0.76856,1.920521,3.146934,0
2018/11/6,sh.600000,10.23709575,10.25549125,10.117525,10.14511825,10.2462935,18422477,203565760,2,0.065552,1,-0.987438,5.825733,0.760971,1.901557,3.11586,0
2018/11/7,sh.600000,10.20030475,10.2095025,9.99795425,10.0255475,10.14511825,20843864,228836505,2,0.074168,1,-1.178605,5.75707,0.752002,1.879146,3.079136,0
2018/11/8,sh.600000,10.16351375,10.2095025,10.0255475,10.1727115,10.0255475,19991683,220506116,2,0.071135,1,1.467897,5.841578,0.76304,1.906729,3.124335,0
2018/11/9,sh.600000,10.10832725,10.14511825,9.8415925,9.88758125,10.1727115,25570050,277004944,2,0.090984,1,-2.802897,5.677845,0.741653,1.853286,3.036763,0
2018/11/12,sh.600000,9.90597675,10.07153625,9.88758125,9.93357,9.88758125,27015827,292478247,2,0.096129,1,0.465118,5.704253,0.745103,1.861906,3.050888,0
2018/11/13,sh.600000,9.823197,10.0255475,9.823197,9.9519655,9.93357,20708729,223541479,2,0.073687,1,0.185181,5.714817,0.746483,1.865354,3.056537,0
2018/11/14,sh.600000,9.99795425,9.99795425,9.823197,9.8415925,9.9519655,17998183,193809658,2,0.064042,1,-1.109056,5.651436,0.738204,1.844666,3.022639,0
2018/11/15,sh.600000,9.859988,9.94276775,9.79560375,9.90597675,9.8415925,16580059,178144575,2,0.058996,1,0.654212,5.688408,0.743033,1.856734,3.042413,0
2018/11/16,sh.600000,9.90597675,9.97955875,9.85079025,9.896779,9.90597675,21394417,230509596,2,0.076127,1,-0.092853,5.683126,0.742343,1.85501,3.039588,0
2018/11/19,sh.600000,9.9887565,10.0255475,9.90597675,10.007152,9.896779,21384793,231999662,2,0.076092,1,1.115241,5.746507,0.750622,1.875698,3.073487,0
2018/11/20,sh.600000,9.99795425,10.01634975,9.79560375,9.83239475,10.007152,21883780,234959214,2,0.077868,1,-1.746328,5.646154,0.737514,1.842942,3.019814,0
2018/11/21,sh.600000,9.75881275,9.859988,9.75881275,9.8048015,9.83239475,16027458,170915676,2,0.05703,1,-0.280634,5.630309,0.735444,1.83777,3.011339,0
2018/11/22,sh.600000,9.86918575,9.86918575,9.72202175,9.786406,9.8048015,14008305,148745106,2,0.049845,1,-0.187613,5.619746,0.734064,1.834322,3.005689,0
2018/11/23,sh.600000,9.749615,9.8048015,9.6576375,9.6576375,9.786406,14715010,155566104,2,0.05236,1,-1.315793,5.545802,0.724405,1.810186,2.966141,0
2018/11/26,sh.600000,9.8048015,9.8048015,9.59325325,9.6576375,9.6576375,14377396,151609376,2,0.051158,1,0,5.545802,0.724405,1.810186,2.966141,0
2018/11/27,sh.600000,9.6576375,9.75881275,9.61164875,9.64843975,9.6576375,15084666,158853285,2,0.053675,1,-0.09524,5.54052,0.723716,1.808462,2.963316,0
2018/11/28,sh.600000,9.712824,9.7680105,9.6576375,9.7312195,9.64843975,18339621,193914889,2,0.065257,1,0.857962,5.588056,0.729925,1.823978,2.98874,0
2018/11/29,sh.600000,9.786406,9.88758125,9.6944285,9.77720825,9.7312195,20685685,220670065,2,0.073605,1,0.472592,5.614464,0.733374,1.832598,3.002864,0
2018/11/30,sh.600000,9.79560375,9.88758125,9.7680105,9.85079025,9.77720825,28572651,305468672,2,0.101668,1,0.752586,5.656718,0.738894,1.84639,3.025463,0
2018/12/3,sh.600000,10.10832725,10.16351375,9.970361,10.1359205,9.85079025,43049070,472438382,2,0.153179,1,2.894495,5.820451,0.760281,1.899833,3.113035,0
2018/12/4,sh.600000,10.117525,10.191107,10.08993175,10.191107,10.1359205,20811293,229713745,2,0.074052,1,0.54446,5.852141,0.76442,1.910177,3.129985,0
2018/12/5,sh.600000,10.10832725,10.2095025,10.080734,10.117525,10.191107,25491217,281189602,2,0.090704,1,-0.722021,5.809888,0.758901,1.896385,3.107385,0
2018/12/6,sh.600000,9.9519655,10.05314075,9.9519655,10.0255475,10.117525,23597997,256533148,2,0.083967,1,-0.909094,5.75707,0.752002,1.879146,3.079136,0
2018/12/7,sh.600000,10.0623385,10.14511825,10.007152,10.01634975,10.0255475,10580550,115760323,2,0.037648,1,-0.091736,5.751789,0.751312,1.877422,3.076312,0
2018/12/10,sh.600000,9.90597675,10.0255475,9.90597675,9.96116325,10.01634975,15927563,172346141,2,0.056674,1,-0.550968,5.720098,0.747172,1.867078,3.059362,0
2018/12/11,sh.600000,9.970361,10.0255475,9.83239475,9.859988,9.96116325,17234222,185675067,2,0.061324,1,-1.015694,5.662,0.739583,1.848114,3.028288,0
2018/12/12,sh.600000,10.01634975,10.01634975,9.8415925,9.86918575,9.859988,12448791,134006589,2,0.044296,1,0.093277,5.667281,0.740273,1.849838,3.031113,0
2018/12/13,sh.600000,9.896779,9.9887565,9.86918575,9.93357,9.86918575,19792340,213866046,2,0.070426,1,0.652383,5.704253,0.745103,1.861906,3.050888,0
2018/12/14,sh.600000,9.8783835,9.93357,9.74041725,9.7680105,9.93357,24163831,257441060,2,0.085981,1,-1.66667,5.609182,0.732684,1.830874,3.000039,0
2018/12/17,sh.600000,9.79560375,9.9151745,9.7680105,9.9151745,9.7680105,19746228,211971706,2,0.070262,1,1.50659,5.69369,0.743723,1.858458,3.045238,0
2018/12/18,sh.600000,9.823197,9.9519655,9.6944285,9.72202175,9.9151745,19451677,207318277,2,0.069214,1,-1.948052,5.582774,0.729235,1.822254,2.985915,0
2018/12/19,sh.600000,9.74041725,9.79560375,9.6944285,9.6944285,9.72202175,13603633,144342542,2,0.048405,1,-0.28382,5.566929,0.727165,1.817082,2.97744,0
2018/12/20,sh.600000,9.68523075,9.74041725,9.29892525,9.42769375,9.6944285,30069914,309207188,2,0.106996,1,-2.751423,5.413759,0.707158,1.767086,2.895518,0
2018/12/21,sh.600000,9.40929825,9.418496,9.19775,9.26213425,9.42769375,20885862,209975605,2,0.074317,1,-1.756101,5.318688,0.694739,1.736055,2.84467,0
2018/12/24,sh.600000,9.1793545,9.234541,9.0689815,9.11497025,9.26213425,22779882,225706451,2,0.081056,1,-1.588876,5.234181,0.683701,1.708471,2.799472,0
2018/12/25,sh.600000,8.98620175,9.0689815,8.82984,9.00459725,9.11497025,34810397,337985911,2,0.123864,1,-1.210897,5.1708,0.675422,1.687783,2.765573,0
2018/12/26,sh.600000,9.02299275,9.087377,8.866631,8.89422425,9.00459725,20569202,200359184,2,0.07319,1,-1.225739,5.107419,0.667143,1.667095,2.731674,0
2018/12/27,sh.600000,8.98620175,9.013795,8.8850265,8.8850265,8.89422425,27347564,266280883,2,0.097309,1,-0.103415,5.102138,0.666453,1.665371,2.728849,0
